,Sr_No,FIR_No,IPC,Date_of_offence,Date_of_FIR,Police_station,Day,Time_of_offence,First_vehicle,Fatalities,Serious,Minor,Second_vehicle,Fatalities_1,Serious_1,Minor_1,Type_of_collision,Hit_and_run,Intersection_mid_block,Maneuver_type,Place_of_occurence,Total_Fatalities,Total_serious,Total_minor,Latitude,Longitude,Road_name,Road_number,Rural_urban,geo
94,95,162,"279, 337",10/23/2017,2017-11-04,Morinda,1900-01-02,17:30:00,Bus/Truck,0,0,0,Two wheeler,0,0,1,Head on,0,Intersection,Approaching from wrong side,Near Village Marouli Kalan,0,0,1,30.785866,76.521246,SH,SH-08,Rural,"30.785866,76.521246"
95,96,167,"279,304-A ",11/09/2017,2017-11-10,Morinda,1900-01-05,17:30:00,Car/Jeep/Van,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Intersection,Over Speeding,T Point Chamkaur Sahib Morinda,1,0,0,30.790318,76.490531,SH,SH-08,Urban,"30.790318,76.490531"
96,97,168,"279,337,304-A ",11/10/2017,2017-11-10,Morinda,1900-01-06,15:30:00,Bus/Truck,0,0,0,Two wheeler,1,0,0,Head on,0,Intersection,Over Speeding,HDFC Bank Morinda,1,0,0,30.795423,76.498554,ODR,ODR-08,Urban,"30.795423,76.498554"
97,98,186,"279,304-A,427 ",11/30/2017,2017-11-30,Morinda,1900-01-05,15:30:00,Bus/Truck,0,0,1,Two wheeler,1,0,0,Sideswipe ,0,Mid Block,Over Speeding,Panjkoha Palace Morinda,1,0,1,30.789276,76.470579,NH,NH-95,Rural,"30.789276,76.470579"
98,99,188,"279,304-A ",12/01/2017,2017-12-02,Morinda,1900-01-06,00:00:00,Bus/Truck,0,0,0,Two wheeler,1,0,0,Head on,0,Intersection,Approaching from wrong side,T Point Chamkaur Sahib Morinda,1,0,0,30.790318,76.490531,SH,SH-08,Urban,"30.790318,76.490531"
99,100,192,"279,337,427,304-A ",12/08/2017,2017-12-09,Morinda,1900-01-06,19:30:00,Car/Jeep/Van,0,0,0,Two wheeler,1,0,0,Sideswipe ,0,Intersection,Over Speeding,Over Bridge Bypass Morinda,1,0,0,30.779258,76.493485,NH,NH-95,Rural,"30.779258,76.493485"
100,101,194,"279,304-A,427 ",12/10/2017,2017-12-11,Morinda,1900-01-01,00:00:00,Car/Jeep/Van,0,0,0,Two wheeler,1,0,0,Head on,0,Mid Block,Over Speeding,Gurdwara sahib Village Kalaran,1,0,0,30.803945,76.470351,ODR,ODR-2,Rural,"30.803945,76.470351"
101,102,203,279427,12/23/2017,2017-12-24,Morinda,1900-01-07,17:00:00,Bus/Truck,0,0,0,Car/Jeep/Van,0,0,1,Hit Pedestrian,0,Mid Block,Over Speeding,Near Vill. Balan Khurd,0,0,1,30.806201,76.4535485,Link Road,Link Road,Rural,"30.806201,76.4535485"
102,103,12,"279, 304-A,427",02/12/2017,2017-02-13,Nurpur Bedi,1900-01-01,18:00:00,Two Wheeler,0,0,0,Two wheeler,1,1,0,Head on,0,Intersection,Over Speeding,Near Gurdwara Baba Deep Singh jhajj,1,1,0,31.210377,76.429328,MDR,MDR-59,Rural,"31.210377,76.429328"
103,104,47,"279, 304-A ",05/17/2017,2017-05-18,Nurpur Bedi,1900-01-04,20:00:00,Car/Jeep/Van,0,0,0,Two wheeler,1,0,0,Head on,1,Intersection,over Speeding,Milk Center Asmanpur,1,0,0,31.144591,76.50152,MDR,MDR-55,Rural,"31.144591,76.50152"
